index,exhibitor_name,exhibitor_description,event_days,exhibitor_logo,exhibitor_photo,x_link,instagram_link,youtube_link,website_link,booth,circle_booth_title,circle_booth_location,circle_booth_date
1,ロボット技術研究会,"電子工作から本格的なロボット制作まで幅広い活動を行う団体です。
部員は個人またはグループで、それぞれの好みや目標に応じて活動しています。
初心者でも大丈夫！私たちと一緒にロボット作りをしましょう！",4/11,https://drive.google.com/open?id=1Cz-ThGg2k70dtEm-oxfggw7QGfeYuTA3,https://drive.google.com/open?id=1pjqoog3Yxg_VtWj_DE6GECQq95BAHwqv,https://x.com/ssr_welcome,,,https://www.rogiken.org/,サークルブース,制作物展示,1,4/11
2,ロス・ガラチェロス,ロス・ガラチェロスは激アツラテン🎺ジャズビッグバンドサークル！陽気なラテンリズムで演奏し、仲間と熱く音楽を楽しめる最高の場所です！,4/11,https://drive.google.com/open?id=1m6H6Jd7A48cMeMKR41j15R5PF76p2Mmu,https://drive.google.com/file/d/15VZBTAjMWHZ7b6BAmwfmehfksblfjNe3/view?usp=sharing,https://x.com/losguarajr,https://www.instagram.com/los_guaracheros.jr,https://youtube.com/@losguaracheros9283?si=zZ2ra43B-A2_Wfax,http://losguara.s100.coreserver.jp/,ステージ企画,,,
3,東京科学大学理工学系漕艇部,ボート部では、初心者から経験者まで楽しめる環境を提供しています。様々な種類のボートを漕いで仲間と共に成長し、達成感を味わえる充実した学生生活を送れます。興味のある方はぜひご参加ください！,"4/10, 4/11",https://drive.google.com/open?id=1VYaZ6ItNr8ZUfVepzsF7x3DzsgpoZaQ5,https://drive.google.com/open?id=1OoZ8Zco6P38YHz23cocRwfHP34F3h7_x,https://x.com/st_rowing2026,https://www.instagram.com/sciencetokyo_boat2026,https://youtube.com/channel/UCJYMqA7YaORz-yyWltEw4Hg?si=b9J-G7TCQrMLJRkR,https://rowingkuramae.com/,"サークルブース,ワークショップ",仮タイトル,11,"4/10,4/11"
4,東京科学大学学生ボランティアグループ（VG）,復興支援・防災活動・地域連携の3つを軸に活動する大学公認のボランティア団体です。学士から博士まで、幅広いメンバーで活動しています。興味のある方は、ぜひ週1回昼休みのミーティングに遊びに来てください！,4/11,https://drive.google.com/open?id=16RJqHxOMbSh6r873KCLSY1yavpxoCKLl,https://drive.google.com/open?id=1T38WoYNLMAWAyutwpLwSvk4pHUVA3jYm,https://x.com/titechVG,https://www.instagram.com/tokodai_vg/,,https://www.isct.ac.jp/ja/001/about/organizations/student-support-center,サークルブース,VGの活動紹介,7,4/11
5,ストリートダンスサークルH2O,"活動は月木18:00～20:00@大岡山キャンパスです。
Middle, Lock, Break, House, Pop, Waackの全6
ジャンルがあり、2,3年生が約70人活動中！インカレなので他大もいます！",4/11,https://drive.google.com/open?id=163hNJAOMtsjxeu57EDoytNKwFNkXlVeO,https://drive.google.com/open?id=1oBDYJRR738XhPAF7IoWVduy89u3fQRJk,https://x.com/titechh2o,https://www.instagram.com/titechh2o/,https://www.youtube.com/@streetdanceH20titech/,,ステージ企画,,,
6,東京科学大学硬式庭球部,科学大硬式庭球部です。男子部は週に3回、女子部は週に１回活動しています。部員構成は男子19人、女子部は13人です。練習はハードコート四面で行っています。現在新入部員大募集中です！ぜひ来てください！,4/10,https://drive.google.com/open?id=1PIiJ4Zw2_pH9kI4cxh6YJ4e2tt-IKKi-,https://drive.google.com/open?id=1Dyhlk_QaiWIwh_tqOUX5WoLGiqIpHszU,https://x.com/ttt_shinkan,https://www.instagram.com/titechtennisclub/,,https://tokyotech.wixsite.com/tokyotechtennis,"サークルブース, ステージ企画",テニス部の活動紹介,8,4/10
7,Sylph,Sylphはハンググライダーやパラグライダーに乗って空を飛ぶ部活です！茨城県の足尾山というエリアで色々な大学の仲間と一緒に空を飛んでます！興味のある方はぜひ体験会や説明会に来てください！,4/10,https://drive.google.com/open?id=1yo61rj7h8MHLsgUSDiifV7uSBylOlZhR,https://drive.google.com/open?id=1NaX7SfzbeRtFKCA48QWGPtmxgp3nH8v4,https://x.com/sylph2023,https://www.instagram.com/sylph__isct,,https://www.team-sylph.com/,サークルブース,„VR“でハンググライダー体験,7,4/10
8,東京科学大学デジタル創作同好会traP,総合デジタル創作サークルです。電子音楽、イラスト制作といった創作活動に加えて、競技プログラミング、セキュリティ、機械学習のコンテストにも出場しているほか、Webアプリやゲーム制作にも取り組んでいます。,4/11,https://drive.google.com/open?id=1xkVdRfXSbP4Nn_GIt9cIi6MSxXjn1dy2,https://drive.google.com/open?id=1lsss36SPv6oyDEnWlFxUlr06bBZkZtgQ,https://x.com/traPisct,https://www.instagram.com/trap_welcome/,https://www.youtube.com/@traptokyotech5606,https://trap.jp/,"サークルブース,ワークショップ",仮タイトル,10,4/11
9,東京科学大学美術部(大岡山),美術部では日々部員が作品を作り、主に秋の工大祭と冬の国公立展での展示を行っています。伸び伸びと自由に活動できる部活です。,4/10,https://drive.google.com/open?id=19hJ7XPtmfNLGfCQ1SDCV4kmyzm0RonDd,https://drive.google.com/open?id=1oqYK6YG9DATSXKIGq8yBL1HRXsIsO8C_,https://x.com/titech_artclub,https://www.instagram.com/titech_artclub,,,サークルブース,美術部,16,4/10
10,無線研究部,"アマチュア無線や電子工作、コンピュータに関する幅広い活動をしています。
部で管理しているアンテナや無線機、電子部品、測定器、サーバー、ネットワーク機器などを活用して各自が自由に活動をしています。","4/10, 4/11",https://drive.google.com/open?id=1dlcWmEGz141u7ubKEiaC8KO9Gfvlt1QA,https://drive.google.com/open?id=1ZwGKtvGMVzRJWEcWPL9Pyf5k3ljQaixb,https://x.com/JA1YAD,,,http://musenken.net/,サークルブース,無線研究部　技術者あつまれ〜,18,"4/10,4/11"
